Region, Section, Index, State, EmptyTime, Bookmark
GJGQ,7,4,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,7,5,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,7,6,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,7,7,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,7,8,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,7,9,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,7,10,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,7,11,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,7,12,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,7,13,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,7,14,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,7,15,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,7,16,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,7,17,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,7,18,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,7,19,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,7,20,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,7,21,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,7,22,OCCUPIED,12/31/9999 11:59:59 PM,False
GJGQ,7,23,OCCUPIED,12/31/9999 11:59:59 PM,False
